parliament_id;parliament_label;parliament_period_id;parliament_period_label;mandate_id;mandate_label;politician_id;first_name;last_name;full_name;academic_title;sex;year_of_birth;party_id;party_name;party_short_name;faction;electoral_district_id;electoral_district_label;electoral_list;list_position;mandate_type;info;start_date;end_date;active_now;politician_url;mandate_api_path;politician_api_path;abgeordnetenwatch_url;wikidata_id;official_profile_url;official_contact_address;official_contact_email;official_contact_phone;official_website;constituency_office_address;constituency_office_email;constituency_office_phone;email_address;sprechstunden_json;next_sprechstunde_date;next_sprechstunde_text
2;Berlin;133;Berlin 2021 - 2026;69065;Regina Kittler (Berlin 2021 - 2026);117538;Regina;Kittler;Regina Kittler;;f;;8;Die Linke;Die Linke;Die Linke (Berlin 2021 - 2026);11104;1004 - Marzahn-Hellersdorf 4 (Berlin 2021 - 2026);Landesliste (Berlin 2021 - 2026);29;moved_up;Regina Kittler ist am 02.12.2025 für Katrin Seidel in das Berliner Abgeordnetenhaus nachgerückt.;2025-12-02;;True;https://www.abgeordnetenwatch.de/profile/regina-kittler;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69065;https://www.abgeordnetenwatch.de/api/v2/politicians/117538;https://www.abgeordnetenwatch.de/profile/regina-kittler;;https://www.parlament-berlin.de/Abgeordnete/regina-kittler;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;kittler@linksfraktion.berlin;;;;;;kittler@linksfraktion.berlin;"[{""date"":""2026-04-27"",""date_text"":""27.04.2026"",""time"":""13:00 Uhr - 16:00 Uhr"",""location"":""Abgeordnetenbüro, Helene-Weigel-Platz 7, 12681 Berlin"",""note"":"""",""emails"":[],""phones"":[],""party"":""LINKE"",""raw"":""27.04.2026 13:00 Uhr - 16:00 Uhr, Abgeordnetenbüro, Helene-Weigel-Platz 7, 12681 Berlin"",""name"":""Regina Kittler""}]";2026-04-27;27.04.2026 13:00 Uhr - 16:00 Uhr, Abgeordnetenbüro, Helene-Weigel-Platz 7, 12681 Berlin
2;Berlin;133;Berlin 2021 - 2026;69057;Philipp Bertram (Berlin 2021 - 2026);122856;Philipp;Bertram;Philipp Bertram;;m;1991;8;Die Linke;Die Linke;Die Linke (Berlin 2021 - 2026);11085;704 - Tempelhof-Schöneberg 4 (Berlin 2021 - 2026);Landesliste (Berlin 2021 - 2026);28;moved_up;Philipp Bertram ist am 30.10.2025 für Sebastian Scheel in das Berliner Abgeordnetenhaus nachgerückt.;2025-10-30;;True;https://www.abgeordnetenwatch.de/profile/philipp-bertram;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69057;https://www.abgeordnetenwatch.de/api/v2/politicians/122856;https://www.abgeordnetenwatch.de/profile/philipp-bertram;;https://www.parlament-berlin.de/Abgeordnete/philipp-bertram;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;bertram@linksfraktion.berlin;;;Wisbyer Str. 37, 13189 Berlin;;;bertram@linksfraktion.berlin;[];;
2;Berlin;133;Berlin 2021 - 2026;69053;Johannes Martin (Berlin 2021 - 2026);184333;Johannes;Martin;Johannes Martin;;m;1987;2;CDU;CDU;CDU (Berlin 2021 - 2026);;;;;moved_up;Johannes Martin ist am 27.09.2025 für Christian Gräff in das Berliner Abgeordnetenhaus nachgerückt.;2025-09-27;;True;https://www.abgeordnetenwatch.de/profile/johannes-martin;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69053;https://www.abgeordnetenwatch.de/api/v2/politicians/184333;https://www.abgeordnetenwatch.de/profile/johannes-martin;;https://www.parlament-berlin.de/Abgeordnete/johannes-martin;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;buero@martin.berlin;;https://martin.berlin/;Warener Str. 1, 12683 Berlin, Tel.: (030) 224 68 732;;030) 224 68 732;buero@martin.berlin;[];;
2;Berlin;133;Berlin 2021 - 2026;69039;Marco Hahnfeld (Berlin 2021 - 2026);184330;Marco;Hahnfeld;Marco Hahnfeld;;m;;2;CDU;CDU;CDU (Berlin 2021 - 2026);;;;;moved_up;Marco Hahnfeld ist am 02.05.2025 für Adrian Grasse in das Berliner Abgeordnetenhaus nachgerückt.;2025-05-02;;True;https://www.abgeordnetenwatch.de/profile/marco-hahnfeld;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69039;https://www.abgeordnetenwatch.de/api/v2/politicians/184330;https://www.abgeordnetenwatch.de/profile/marco-hahnfeld;;https://www.parlament-berlin.de/Abgeordnete/marco-hahnfeld;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;;;;;;;;[];;
2;Berlin;133;Berlin 2021 - 2026;69038;Michael Efler (Berlin 2021 - 2026);122819;Michael;Efler;Michael Efler;Dr.;m;1970;8;Die Linke;Die Linke;Die Linke (Berlin 2021 - 2026);11068;406 - Charlottenburg-Wilmersdorf 6 (Berlin 2021 - 2026);Landesliste (Berlin 2021 - 2026);26;moved_up;Michael Efler ist am 09.05.2025 für Katalin Gennburg in das Berliner Abgeordnetenhaus nachgerückt.;2025-05-09;;True;https://www.abgeordnetenwatch.de/profile/michael-efler;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69038;https://www.abgeordnetenwatch.de/api/v2/politicians/122819;https://www.abgeordnetenwatch.de/profile/michael-efler;;https://www.parlament-berlin.de/Abgeordnete/michael-efler;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;efler@linksfraktion.berlin;;https://www.michael-efler.de;Weidenweg 17, 10249 Berlin;;;efler@linksfraktion.berlin;[];;
2;Berlin;133;Berlin 2021 - 2026;69010;Frank Scheermesser (Berlin 2021 - 2026);122987;Frank;Scheermesser;Frank Scheermesser;;m;1958;9;AfD;AfD;AfD (Berlin 2021 - 2026);11048;201 - Friedrichshain-Kreuzberg 1 (Berlin 2021 - 2026);;;moved_up;Frank Scheermesser ist am 27.03.2025 für Ronald Gläser in das Berliner Abgeordnetenhaus nachgerückt.;2025-03-27;;True;https://www.abgeordnetenwatch.de/profile/frank-scheermesser;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/69010;https://www.abgeordnetenwatch.de/api/v2/politicians/122987;https://www.abgeordnetenwatch.de/profile/frank-scheermesser;;https://www.parlament-berlin.de/Abgeordnete/frank-scheermesser;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;Scheermesser@AfD-Fraktion.berlin;;;;;;Scheermesser@AfD-Fraktion.berlin;[];;
2;Berlin;133;Berlin 2021 - 2026;58600;Niklas Graßelt (Berlin 2021 - 2026);179810;Niklas;Graßelt;Niklas Graßelt;;m;1993;2;CDU;CDU;CDU (Berlin 2021 - 2026);;;Bezirksliste Reinickendorf (Berlin 2021 - 2026);;list;Mit der Wiederholungswahl ins Abgeordnetenhaus Berlin eingezogen.;2023-03-16;;True;https://www.abgeordnetenwatch.de/profile/niklas-grasselt;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/58600;https://www.abgeordnetenwatch.de/api/v2/politicians/179810;https://www.abgeordnetenwatch.de/profile/niklas-grasselt;;https://www.parlament-berlin.de/Abgeordnete/niklas-grasselt;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;grasselt@cdu-fraktion.berlin.de;;https://www.niklasgrasselt.de/;Oraniendamm 10-6, Aufgang D, 13469 Berlin;;;grasselt@cdu-fraktion.berlin.de;[];;
2;Berlin;133;Berlin 2021 - 2026;58599;Ario Ebrahimpour Mirzaie (Berlin 2021 - 2026);176565;Ario;Ebrahimpour Mirzaie;Ario Ebrahimpour Mirzaie;;m;1985;5;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN;BÜNDNIS 90/­DIE GRÜNEN (Berlin 2021 - 2026);11045;105 - Mitte 5 (Berlin 2021 - 2026);Landesliste (Berlin 2021 - 2026);;list;Mit der Wiederholungswahl 2023 ins Abgeordnetenhaus Berlin eingezogen.;2023-03-16;;True;https://www.abgeordnetenwatch.de/profile/ario-ebrahimpour-mirzaie;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/58599;https://www.abgeordnetenwatch.de/api/v2/politicians/176565;https://www.abgeordnetenwatch.de/profile/ario-ebrahimpour-mirzaie;;https://www.parlament-berlin.de/Abgeordnete/ario-ebrahimpour-mirzaie;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin, Webseite;;;https://www.ariomirzaie.de;Groninger Straße 10, 13347 Berlin;ario.mirzaie@gruene-fraktion.berlin;;ario.mirzaie@gruene-fraktion.berlin;[];;
2;Berlin;133;Berlin 2021 - 2026;58510;Alexander Freier-Winterwerb (Berlin 2021 - 2026);122933;Alexander;Freier-Winterwerb;Alexander Freier-Winterwerb;;m;1986;1;SPD;SPD;SPD (Berlin 2021 - 2026);11095;901 - Treptow-Köpenick 1 (Berlin 2021 - 2026);;;moved_up;Nachgerückt für Ellen Haußdörfer am 09.05.2023.;2023-05-09;;True;https://www.abgeordnetenwatch.de/profile/alexander-freier-winterwerb;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/58510;https://www.abgeordnetenwatch.de/api/v2/politicians/122933;https://www.abgeordnetenwatch.de/profile/alexander-freier-winterwerb;;https://www.parlament-berlin.de/Abgeordnete/alexander-freier-winterwerb;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin;alexander.freier-winterwerb@spd.parlament-berlin.de;;;Galileistraße 31, 12435 Berlin;alexander.freier@spd.parlament-berlin.de;;alexander.freier@spd.parlament-berlin.de;[];;
2;Berlin;133;Berlin 2021 - 2026;58509;Wiebke Neumann (Berlin 2021 - 2026);176509;Wiebke;Neumann;Wiebke Neumann;;f;1986;1;SPD;SPD;SPD (Berlin 2021 - 2026);11082;701 - Tempelhof-Schöneberg 1 (Berlin 2021 - 2026);;;moved_up;Am 04.05.2023 für Michael Biel nachgerückt.;2023-05-04;;True;https://www.abgeordnetenwatch.de/profile/wiebke-neumann-0;https://www.abgeordnetenwatch.de/api/v2/candidacies-mandates/58509;https://www.abgeordnetenwatch.de/api/v2/politicians/176509;https://www.abgeordnetenwatch.de/profile/wiebke-neumann-0;;https://www.parlament-berlin.de/Abgeordnete/wiebke-neumann;Abgeordnetenhaus von Berlin, Niederkirchnerstr. 5, 10111 Berlin, Webseite;wiebke.neumann@spd.parlament-berlin.de;;https://www.wiebke-neumann.berlin/;Goebenstraße 3, 10783 Berlin;;;wiebke.neumann@spd.parlament-berlin.de;[];;
