AWK;Wahlkreis;MdA_2025;party_short_name;politician_id;mandate_id;mandate_type;committees;spokesperson_role;constituency_office_address;email_address;sm_facebook;sm_instagram;sm_tiktok;sm_x;sm_bluesky;sm_youtube;sm_twitch;sm_discord;sm_telegram;sm_rss;sm_newsletter
0078;Berlin-Steglitz-Zehlendorf;Ruppert Stüwe;SPD;175488;68925;list;Haushaltsausschuss | Petitionsausschuss | Rechnungsprüfungsausschuss;;;;;;;;;;;;;;
0085;Berlin-Lichtenberg;Beatrix von Storch;AfD;29202;68919;list;Ausschuss für Bildung, Familie, Senioren, Frauen und Jugend | Ausschuss für Digitales und Staatsmodernisierung | Auswärtiger Ausschuss;;;;;;;;;;;;;;
0074;Berlin-Mitte;Hanna Steinmüller;BÜNDNIS 90/­DIE GRÜNEN;164996;68915;constituency;Ausschuss für Recht und Verbraucherschutz | Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen;;;;;;;;;;;;;;
0085;Berlin-Lichtenberg;Ines Schwerdtner;Die Linke;180854;68887;constituency;Finanzausschuss | Haushaltsausschuss;;;;;;;;;;;;;;
0076;Berlin-Reinickendorf;Marvin Schulz;CDU;182848;68880;constituency;Ausschuss für Digitales und Staatsmodernisierung | Ausschuss für Wirtschaft und Energie;;;;;;;;;;;;;;
0075;Berlin-Pankow;Julia Schneider;BÜNDNIS 90/­DIE GRÜNEN;176576;68870;constituency;Ausschuss für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit | Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen | Haushaltsausschuss;;;;;;;;;;;;;;
0079;Berlin-Charlottenburg-Wilmersdorf;Lisa Paus;BÜNDNIS 90/­DIE GRÜNEN;79090;68787;list;Ausschuss für Arbeit und Soziales | Haushaltsausschuss | Unterausschuss zu Fragen der Europäischen Union;;;;;;;;;;;;;;
0074;Berlin-Mitte;Stella Merendino;Die Linke;183186;68736;list;Ausschuss für Gesundheit | Auswärtiger Ausschuss;;;;;;;;;;;;;;
0082;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;Pascal Meiser;Die Linke;117904;68734;constituency;Ausschuss für Arbeit und Soziales | Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen;;;;;;;;;;;;;;
0076;Berlin-Reinickendorf;Sebastian Maack;AfD;123031;68718;list;Ausschuss für Bildung, Familie, Senioren, Frauen und Jugend | Ausschuss für Digitales und Staatsmodernisierung;;;;;;;;;;;;;;
