"Name","Art der Mitarbeit","Herkunft","seit"
"Alexander Pönack","Fraktionsvorsitzender","CDU","2021-11-04"
"Alexander Sempf","Fraktionsvorsitzender","SPD","2016-10-27"
"Alissa Wiemann","Bezirksverordnete","Grüne","2021-11-04"
"Anja Kraus","Bezirksverordnete","Grüne","2022-01-14"
"Anne-Katrin Körbi","Bezirksverordnete","Grüne","2024-02-21"
"Annegret Hansen","Bezirksverordnete","SPD","2021-11-04"
"Annetta Juckel","Fraktionsvorsitzende","Linke","2016-10-27"
"Ansgar Gusy","Bezirksverordneter","Grüne","2011-11-08"
"Christian M. Schuchert","Fraktionslos","fraktionslos","2024-04-09"
"Christine Schmidt-Statzkowski","Bezirksverordnete","CDU","2021-11-04"
"Claudia Spielberg","Bezirksverordnete","SPD","2021-11-04"
"Constanze Röder","Bezirksverordnete","SPD","2019-04-02"
"Cordula Kollotschek","Bezirksverordnete","CDU","2021-11-04"
"Corinna Balkow","Bezirksverordnete","Grüne","2021-11-04"
"Dagmar Kempf","stellv. BVV-Vorsitz","Grüne","2021-11-04"
"Dr. Ann-Kathrin Biewener","Bezirksverordnete","SPD","2016-10-27"
"Dr. Anne Zetsche","Bezirksverordnete","Linke","2021-11-04"
"Dr. Claudia Buß","Bezirksverordnete","SPD","2016-10-27"
"Dr. Felicitas Tesch","Bezirksverordnete","SPD","2016-10-27"
"Dr. Felix Recke-Friedrich","Fraktionsvorsitzender","fraktionslos","2016-10-27"
"Dr. Jürgen Murach","Bezirksverordneter","SPD","2006-10-26"
"Dr. Michael Seyfert","Bezirksverordneter","AfD","2022-10-01"
"Francisco Sommer","Bezirksverordneter","CDU","2022-11-01"
"Frederike-Sophie Gronde-Brunner","Fraktionsvorsitzende","Linke","2016-10-27"
"Gregor Kadow","Bezirksverordneter","AfD","2022-10-01"
"Hans-Joachim Fenske","Bezirksverordneter","CDU","2011-10-27"
"Heike Hüneke","Bezirksverordnete","Grüne","2021-11-04"
"Herbert Nebel","Bezirksverordneter","Grüne","2021-11-04"
"Jakob Zimmer","Bezirksverordneter","Grüne","2021-11-04"
"Jan Reddehase","Bezirksverordneter","CDU","2026-02-01"
"Jana Knost","Bezirksverordnete","CDU","2025-07-17"
"Johannes Heyne","Bezirksverordneter","fraktionslos","2016-10-27"
"Judith Stückler","BVV-Vorsitz","CDU","2021-11-04"
"Jun Chen","Bezirksverordneter","Grüne","2021-11-04"
"Kai Bodensiek","Bezirksverordneter","SPD","2021-11-04"
"Karsten Sell","Bezirksverordneter","CDU","2011-10-27"
"Klaus Goerlitz","Bezirksverordneter","CDU","2023-05-03"
"Konstanze Zucker","Bezirksverordnete","CDU","2021-11-04"
"Manuel Sandvoß","Bezirksverordneter","CDU","2022-01-01"
"Martin Christian Thomas Kohler","Fraktionsvorsitzender","AfD","2022-10-01"
"Maurice Wothe","Bezirksverordneter","CDU","2023-05-03"
"Nicola Kaufmann","Bezirksverordneter","SPD","2021-11-04"
"Nilüfer Bakkal","Bezirksverordnete","CDU","2023-05-03"
"Ralph Schöne","Bezirksverordneter","CDU","2023-05-03"
"Reinhold Hartmann","Bezirksverordneter","CDU","2016-10-27"
"Rüdiger Deißler","Bezirksverordneter","Linke","2021-11-04"
"Sascha Taschenberger","Bezirksverordneter","Grüne","2009-10-04"
"Sean Zielinski","Bezirksverordneter","CDU","2023-05-03"
"Sebastian Weise","Fraktionsvorsitzender","Grüne","2021-11-04"
"Sibylle C. Centgraf","Bezirksverordnete","Grüne","2017-11-07"
"Simone Beyer","Bezirksverordnete","CDU","2023-05-03"
"Stefanie Beckers","Bezirksverordnete","fraktionslos","2021-11-04"
"Susan Drews","Bezirksverordnete","Grüne","2011-10-27"
"Timur Saric","Bezirksverordneter","SPD","2021-11-04"
"Wolfgang Tillinger","Schriftführung","SPD","2011-10-27"
