"Name","Art der Mitarbeit","Herkunft","seit"
"Alexander Roßmann","Bezirksverordneter","LIN","2021-11-04"
"Andreas Büchner","Bezirksverordneter","SPD","2025-09-01"
"Anne Meyer","Bezirksverordnete","SPD","2011-10-27"
"Antje Hagen Schorr","Bezirksverordnete","CDU","2023-03-16"
"Antje Schiwatschev","Bezirksverordnete","LIN","2021-11-04"
"Antonio Leonhardt","Bezirksverordneter","LIN","2016-10-27"
"Benjamin Hudler","Bezirksverordneter","CDU","2016-10-27"
"Blashka Brechel","Bezirksverordnete","SPD","2024-08-06"
"Carolin Peters","Bezirksverordnete","CDU","2021-11-04"
"Christian Petermann","Bezirksverordneter","SPD","2021-11-04"
"Daniela Ehlers","Bezirksverordnete","Grü","2016-10-27"
"Dante Esteban Davis","Bezirksverordneter","Grü","2021-11-04"
"Dennis Makoschey","Bezirksverordneter","CDU","2023-03-16"
"Diana Ziegler","Bezirksverordnete","CDU","2023-03-16"
"Dietmar Drewes","Bezirksverordneter","AfD","2016-10-27"
"Dr. Anja Ingenbleek","Bezirksverordnete","SPD","2016-10-27"
"Dr. Erik Gührs","Bezirksverordneter","SPD","2006-10-26"
"Dr. Katja Seidel","Bezirksverordnete","LIN","2021-11-04"
"Dr. Tinko Hempel","Bezirksverordneter","BSW","2021-11-04"
"Falk Rodig","Bezirksverordneter","AfD","2024-02-10"
"Frank Teichert","Bezirksverordneter","CDU","2021-12-16"
"Frederike Navarro","Bezirksverordnete","Grü","2021-11-04"
"Gregor Hoffmann","BVV-Vorsitz","CDU","2023-03-16"
"Henning Wolff","Bezirksverordneter","SPD","2021-11-04"
"Heribert Eisenhardt","Bezirksverordneter","AfD","2016-10-27"
"Ines Naschke","Bezirksverordnete","CDU","2023-03-16"
"Ingeborg Görsdorf","Bezirksverordnete","LIN","2001-11-29"
"Jakob Löwenstein","Bezirksverordneter","CDU","2023-03-16"
"Jennifer Witte","Bezirksverordnete","TSP","2021-11-04"
"Jürgen Prof. Dr. Hofmann","Bezirksverordneter","LIN","2026-03-11"
"Jutta Feige","Bezirksverordnete","SPD","2023-03-16"
"Katja Michel","Bezirksverordnete","TSP","2021-11-04"
"Kerstin Zimmer","stellv. BVV-Vorsitz","LIN","2023-03-16"
"Kevin Einenkel","Bezirksverordneter","SPD","2021-11-04"
"Lennart Birkenthal","Bezirksverordneter","CDU","2023-03-16"
"Leonie Köhler","Bezirksverordnete","Grü","2021-11-04"
"Lisa-Marie Sager","Bezirksverordnete","SPD","2021-11-04"
"Marianne Kleinert","Bezirksverordnete","AfD","2023-03-16"
"Michael Niedworok","Bezirksverordneter","BSW","2006-10-26"
"Mike Krüger","Bezirksverordneter","CDU","2023-03-16"
"Norman Wolf","Bezirksverordneter","BSW","2011-11-17"
"Paul Couque-Castelnovo","Bezirksverordneter","CDU","2023-03-16"
"Paul Meyer-Dunker","Bezirksverordneter","Grü","2023-10-01"
"Philipp Ahrens","Bezirksverordneter","Grü","2021-11-04"
"Prof. Dr. Klaus-Dieter Ahrends","Bezirksverordneter","CDU","2023-03-16"
"Robert Pohle","Bezirksverordneter","Grü","2016-10-27"
"Samantha Klug","Bezirksverordnete","LIN","2021-11-04"
"Sarah Ribbeck","Bezirksverordnete","CDU","2022-08-01"
"Sebastian Faetke","Bezirksverordneter","AfD","2016-10-27"
"Steffen Zoschke","Bezirksverordneter","CDU","2022-06-01"
"Sükrü Celiker","Bezirksverordneter","fraktionslos","2023-03-16"
"Tatjana Behrend","Bezirksverordnete","LIN","2021-11-04"
"Toni Kraus","Bezirksverordneter","LIN","2021-11-04"
"Uwe Dinda","Bezirksverordneter","AfD","2016-10-27"
"Wolfgang Hennig","Bezirksverordneter","AfD","2021-11-04"
