"Name","Art der Mitarbeit","Herkunft","seit"
"Name","Stefan Suck","Vorsteher",""
"CDU","27.04.2023","Dr. Luise Lehmann","stellv. Vorsteherin"
"SPD","27.04.2023","Martina Polizzi",""
"Beisitzerin","Linke","27.04.2023",""
"Ina Seidel-Grothe","Beisitzerin","fraktionslos","04.11.2021"
"Wolfhart Ulbrich","Beisitzer","SPD","27.04.2023"
"Eike Arnold","Bezirksverordneter","SPD","04.11.2021"
"Sarah Bigall","Bezirksverordnete","Linke","27.10.2011"
"Daniel Birkefeld","Bezirksverordneter","AfD","16.03.2023"
"Dr. Frank Bugenhagen-Gölden","Bezirksverordneter","CDU","16.03.2023"
"Zoe Dahler","Bezirksverordnete","Linke","01.01.2024"
"Jessica Deutscher","Bezirksverordnete","CDU","04.11.2021"
"Thomas Drobisch","Bezirksverordneter","CDU","16.03.2023"
"Anneliese Dummer","Bezirksverordnete","AfD","04.11.2021"
"Martin Johannes Flegel","Bezirksverordneter","CDU","16.03.2023"
"Patrick Steven Fritsch","Bezirksverordneter","AfD","15.02.2024"
"Sten Garmshausen","Bezirksverordneter","CDU","13.10.2025"
"Maria Elena Geidel","Bezirksverordnete","SPD","04.11.2021"
"Jörn Geißler","Bezirksverordneter","AfD","27.10.2016"
"Tobias Glowatz","Bezirksverordneter","CDU","27.10.2016"
"Susanne Gontard","Bezirksverordnete","CDU","01.01.2024"
"Pascal Grothe","Bezirksverordneter","Bü 90/Grüne","04.11.2021"
"Dr. Sergej Henke","Bezirksverordneter","AfD","22.11.2016"
"Marion Hoffmann","Bezirksverordnete","SPD","04.11.2021"
"Jan Hofmann","Bezirksverordneter","SPD","04.11.2021"
"Stephanie Inka Jehne","Bezirksverordnete","SPD","04.11.2021"
"Steven Kelz","Bezirksverordneter","Linke","04.11.2021"
"Rolf Keßler","Bezirksverordneter","AfD","27.10.2016"
"Martin Koblischke","Bezirksverordneter","AfD","04.11.2021"
"Steffen Kohlmeier","Bezirksverordneter","CDU","16.03.2023"
"Alexander Korneev","Bezirksverordneter","CDU","16.11.2021"
"Matthias Kräning","Bezirksverordneter","CDU","27.10.2016"
"Günther Krug","Bezirksverordneter","SPD","01.07.2019"
"Konstantin Krushinskij","Bezirksverordneter","AfD","04.11.2021"
"Michael Lehmann","Bezirksverordneter","CDU","27.10.2016"
"Paul Lehmann","Bezirksverordneter","Linke","01.01.2025"
"Christian Linke","Bezirksverordneter","SPD","04.11.2021"
"Jana Löschke","Bezirksverordnete","CDU","04.11.2021"
"Ilka Maikowski","Bezirksverordnete","CDU","16.03.2023"
"Chantal Münster","Bezirksverordnete","Bü 90/Grüne","25.03.2023"
"Wladimir Naumann","Bezirksverordneter","AfD","04.11.2021"
"Liane Ollech","Bezirksverordnete","SPD","04.11.2021"
"Jesko Orzschig","Bezirksverordneter","CDU","16.03.2023"
"Steffen Ostehr","Bezirksverordneter","Linke","27.04.2023"
"Martina Patzwall","Bezirksverordnete","CDU","16.03.2023"
"Jens Pochandke","Bezirksverordneter","AfD","27.10.2016"
"Benjamin Raschke","Bezirksverordneter","CDU","04.11.2021"
"Maximilian Schröder","Bezirksverordneter","CDU","01.07.2020"
"Bodo Schroeder","Bezirksverordneter","CDU","18.11.2011"
"Norbert Seichter","Bezirksverordneter","Linke","02.12.2025"
"Laurenz Terl","Bezirksverordneter","Linke","01.08.2023"
"Björn Tielebein","Bezirksverordneter","Linke","29.11.2001"
"Nickel von Neumann","Bezirksverordneter","Bü 90/Grüne","27.10.2011"
"Thomas Weidehoff","Bezirksverordneter","AfD","04.11.2021"
"Werner Wiemann","Bezirksverordneter","AfD","27.10.2016"
"Harald Gerhard Zentner","Bezirksverordneter","AfD","04.11.2021"
"Stefan Bley","BzStR SchulSportWeiKultFM","CDU","12.05.2023"
