"Name","Art der Mitarbeit","Herkunft","seit"
"Alexandra Bendzko","Bezirksverordnete","Grüne","2021-11-04"
"Anna Elisabeth Schröder","Bezirksverordnete","Linke","2024-09-01"
"Bastian Roet","Bezirksverordneter","FDP","2021-11-04"
"Betül Özdemir","Bezirksverordnete","SPD","2025-09-15"
"Carsten Riedel","Bezirksverordneter","AfD","2021-11-04"
"Christoph Riedlberger","Bezirksverordneter","Grüne","2025-10-01"
"Daniel Schwarz","Bezirksverordneter","SPD","2016-10-27"
"Daniela Fritz","Bezirksverordnete","CDU","2021-11-04"
"Deniz Seyhun","Bezirksverordnete","fraktionslos","2021-11-04"
"Dorothea Riedel","Bezirksverordnete","SPD","2021-11-04"
"Dr. Anna Heidenreich","Bezirksverordnete","Grüne","2025-03-07"
"Dr. Kai Borrmann","Bezirksverordneter","fraktionslos","2021-11-04"
"Dr. Mamuka Shubladze","Bezirksverordneter","CDU","2023-03-29"
"Dr. Sven Drebes","Bezirksverordneter","Grüne","2021-11-04"
"Dr. Winfried Pathe","Bezirksverordneter","CDU","2023-03-16"
"Erik Haase","Bezirksverordneter","SPD","2021-11-04"
"Falko Krause","Bezirksverordneter","SPD","2018-08-28"
"Gabriele Cocozza","Bezirksverordnete","FDP","2021-11-04"
"Hannah Gerlof","Bezirksverordnete","Linke","2021-11-11"
"Hans Berg","Bezirksverordneter","CDU","2025-09-01"
"Hendrik Böckermann","Bezirksverordneter","CDU","2021-11-04"
"Ingrid Bertermann","Bezirksverordnete","fraktionslos","2021-11-04"
"Isabelle Schellenberger","Bezirksverordnete","Grüne","2021-11-04"
"Jacqueline Sanehy","Bezirksverordnete","Linke","2021-11-03"
"Jalal Amin","Bezirksverordneter","Grüne","2021-11-04"
"Jelisaweta Kamm","BVV-Vorsitz","Grüne","2021-11-04"
"Johanna Fölkel","Bezirksverordnete","FDP","2021-11-04"
"Johannes Mihram","Bezirksverordneter","Grüne","2024-02-08"
"Katja Zimmermann","Bezirksverordnete","Grüne","2021-11-04"
"Katrin Benzenberg","Bezirksverordnete","SPD","2021-11-04"
"Klaus Kundt","Bezirksverordneter","CDU","2023-03-16"
"Lela Sisauri","Bezirksverordnete","Grüne","2021-11-04"
"Leonard Diederich","Bezirksverordneter","Linke","2023-03-16"
"Lucie Schröder","Bezirksverordnete","Grüne","2021-11-04"
"Mandy Losse","Bezirksverordnete","CDU","2021-11-17"
"Martha Kleedörfer","Bezirksverordnete","Linke","2021-11-04"
"Martin Leuschner","stellv. BVV-Vorsitz","CDU","2023-03-15"
"Monika Trautmann","Bezirksverordnete","CDU","2023-03-16"
"Olaf Lemke","Bezirksverordneter","CDU","2016-11-10"
"Ramona Reiser","Bezirksverordnete","fraktionslos","2021-11-04"
"Sabine Schüler","Bezirksverordnete","AfD","2021-11-04"
"Samiullah Malekzadeh","Bezirksverordneter","Linke","2021-11-04"
"Sascha Schug","Beisitzer/in","SPD","2023-03-28"
"Shiva Saber-Fattahy","Bezirksverordnete","Grüne","2021-11-04"
"Stephan von Dassel","Bezirksverordneter","Grüne","2023-03-16"
"Susanne Fischer","Bezirksverordnete","SPD","2016-11-23"
"Sven Diedrich","Bezirksverordneter","fraktionslos","2001-11-29"
"Sylvia Ganz","Bezirksverordnete","CDU","2021-11-04"
"Tarek Massalme","Bezirksverordneter","Grüne","2021-11-04"
"Thilo Urchs","Beisitzer/in","Linke","2021-11-04"
"Vasile Marian Luca","Bezirksverordneter","Grüne","2021-11-04"
"Vera Morgenstern","Bezirksverordnete","SPD","2011-10-27"
"Yves Venedey","Bezirksverordneter","Grüne","2025-10-14"
