"Name","Art der Mitarbeit","Herkunft","seit"
"Ken Augustin","Bezirksverordnete/r","fraktionslos",""
"Nimet Avci","Bezirksverordnete/r","CDU","16.03.2023"
"Nicole Bülck","Bezirksverordnete/r","CDU","27.10.2016"
"Wolfgang Gellert","Bezirksverordnete/r","CDU","16.03.2023"
"Sabine Güldner","Bezirksverordnete/r","CDU","04.11.2021"
"Volker Hertzberg","Bezirksverordnete/r","CDU","16.03.2023"
"Annabell Herzig","Bezirksverordnete/r","CDU","16.03.2023"
"Ino Kringel","Bezirksverordnete/r","CDU","04.11.2021"
"Dariusz Krylik","Bezirksverordnete/r","CDU","16.03.2023"
"Annika Liebenau","Bezirksverordnete/r","CDU","16.03.2023"
"Elfriede Manteuffel","Bezirksverordnete/r","CDU","01.12.2018"
"Christa Oegel","Bezirksverordnete/r","CDU","16.03.2023"
"Markus Oegel","Fraktionsvorsitzende/r","CDU","26.04.2023"
"André Schloßmacher","Bezirksverordnete/r","CDU","01.12.2001"
"Karsten Schulze","Bezirksverordnetenvorsteher","CDU","24.05.2023"
"Raven Schumann","Bezirksverordnete/r","CDU","26.04.2023"
"Sven Triepel","Bezirksverordnete/r","CDU","16.03.2023"
"Cindy Adjei","Bezirksverordnete/r","SPD","04.11.2021"
"Bijan Atashgahi","Bezirksverordnete/r","SPD","26.10.2006"
"Gabriela Gebhardt","Bezirksverordnete/r","SPD","04.10.2019"
"Robert Hagen","Bezirksverordnete/r","SPD","01.07.2025"
"Nilgün Hascelik","Bezirksverordnete/r","SPD","27.10.2011"
"Franziska Jahke","Bezirksverordnete/r","SPD","27.10.2016"
"Cordula Klein","Fraktionsvorsitzende/r","SPD","04.11.2021"
"Jürgen Koglin","Bezirksverordnete/r","SPD","27.10.2016"
"Michael Morsbach","Bezirksverordnete/r","SPD","01.09.2024"
"Maximilian Neudert","Bezirksverordnete/r","SPD","01.03.2024"
"Lars Oeverdieck","stellv. Bezirksverordnetenvorst.","SPD","24.05.2023"
"Marko Preuß","Bezirksverordnete/r","SPD","01.12.2006"
"Marina Reichenbach","Bezirksverordnete/r","SPD","27.10.2016"
"Peter Scharmberg","Bezirksverordnete/r","SPD","01.12.2001"
"Max von Chelstowski","Bezirksverordnete/r","SPD","04.11.2021"
"Beate Bruker","Fraktionsvorsitzende Doppelspitze","Grüne","24.05.2023"
"Susann Dr. Worschech","Bezirksverordnete/r","Grüne","17.04.2023"
"Katheryn Herrmann Aguero","Bezirksverordnete/r","Grüne","01.09.2023"
"Jan Michael Ihl","Bezirksverordnete/r","Grüne","01.09.2024"
"Sofie Krotter","Bezirksverordnete/r","Grüne","01.11.2015"
"Maimouna Ouattara","Bezirksverordnete/r","Grüne","04.11.2021"
"Kadir Sahin","Bezirksverordnete/r","Grüne","04.11.2021"
"Jan Tjado Stemmermann","Bezirksverordnete/r","Grüne","01.04.2023"
"Jan Stiermann","Bezirksverordnete/r","Grüne","04.11.2021"
"Samira Tanana","Fraktionsvorsitzende Doppelspitze","Grüne","04.11.2021"
"Ahmed Abed","Fraktionsvorsitzender Doppelspitze","Linke","04.11.2021"
"Carla Aßmann","Fraktionsvorsitzende Doppelspitze","Linke","04.11.2021"
"Philipp Dehne","Bezirksverordnete/r","Linke","04.11.2021"
"Sophie Luise Dieckmann","Bezirksverordnete/r","Linke","01.10.2025"
"Georg Frankl","Bezirksverordnete/r","Linke","04.11.2021"
"Caroline Hüglin","Bezirksverordnete/r","Linke","01.02.2024"
"Susanka Sambefski","Bezirksverordnete/r","Linke","04.11.2021"
"Susanne Steinborn","Bezirksverordnete/r","Linke","01.10.2025"
"Michael Stöckel","Bezirksverordnete/r","Linke","01.01.2025"
"Marlies Becker","Bezirksverordnete/r","AfD","04.11.2021"
"Jörg Kapitän","Bezirksverordnete/r","AfD","27.12.2018"
"Julian Potthast","Fraktionsvorsitzende/r","AfD","04.11.2021"
"Christian Hohmann","Bezirksverordnete/r","fraktionslos","04.11.2021"
