"Name","Art der Mitarbeit","Herkunft","seit"
"Name","Dr. Anh Thu Anne Lam","Bezirksverordnete",""
"fraktionslos","06.02.2024","Katja Ahrens",""
"Bezirksverordnete","SPD","04.11.2021",""
"Can Diego Aru","Bezirksverordneter","Grüne","04.11.2021"
"Frank Behnke","Bezirksverordneter","AfD","04.11.2021"
"Maria Bigos","Bezirksverordnete","Linke","16.11.2021"
"Denise Bittner","Bezirksverordnete","CDU","27.10.2016"
"Stefan Blauert","Bezirksverordneter","CDU","16.03.2023"
"Thomas Bohla","Bezirksverordneter","SPD","01.02.2009"
"Frederik Bordfeld","Bezirksverordneter","Linke","27.10.2016"
"Jan Drewitz","Bezirksverordneter","Grüne","04.11.2021"
"Carola Ehrlich-Cypra","Bezirksverordnete","Grüne","02.01.2025"
"Dr. Thomas Enge","Bezirksverordneter","FDP","04.11.2021"
"Patrizia Flores Rivera","Bezirksverordnete","Grüne","04.11.2021"
"Silke Gänger","Bezirksverordnete","Grüne","04.11.2021"
"Karsten Dirk Gloger","Bezirksverordneter","Grüne","18.01.2018"
"Christoph Göring","Bezirksverordneter","Grüne","01.09.2023"
"Sascha Groß","Bezirksverordneter","CDU","04.11.2021"
"Daniel Hauer","Bezirksverordneter","CDU","05.06.2018"
"Andreas Holder","Bezirksverordneter","AfD","04.11.2021"
"Henrik Hornecker","Bezirksverordneter","SPD","04.11.2021"
"Claudia Jung","Bezirksverordnete","Grüne","02.02.2026"
"Dr. Oliver Jütting","Bezirksverordnetenvorsteher","Grüne","04.11.2021"
"Wolfram Kempe","Bezirksverordneter","Linke","26.10.2006"
"Sibylla Susanne Knebel","Bezirksverordnete","CDU","12.05.2023"
"Katharina Koufen","Bezirksverordnete","Grüne","04.11.2021"
"Daniel Krüger","Bezirksverordneter","AfD","10.11.2021"
"Susanne Kühne","Bezirksverordnete","Linke","06.10.2022"
"Oskar Lederer","Bezirksverordneter","Linke","16.09.2022"
"Marc Lenkeit","Bezirksverordneter","SPD","24.04.2018"
"Axel Lüssow","Bezirksverordneter","Grüne","04.11.2021"
"Katrin Maillefert","Bezirksverordnete","Linke","04.11.2021"
"Birgit Mickley","Bezirksverordnete","SPD","04.11.2021"
"Herbert Mohr","Bezirksverordneter","AfD","04.11.2021"
"David Paul","stellv. Bezirksverordnetenvorsteher","CDU","16.03.2023"
"Ulrike Rosensky","Bezirksverordnete","SPD","04.11.2021"
"Dr. Eva Scharfenberg","Bezirksverordnete","CDU","04.11.2021"
"Maximilian Schirmer","Bezirksverordneter","Linke","27.10.2016"
"Paul Schlüter","Bezirksverordneter","Grüne","24.01.2025"
"Heike Schmidt","Bezirksverordnete","Grüne","04.11.2021"
"Roland Schröder","Bezirksverordneter","Linke","26.10.2006"
"Dr. Christoph Schweer","Bezirksverordneter","AfD","16.03.2023"
"Jan Arne Seewald","Bezirksverordneter","CDU","29.08.2023"
"Marion Seidenstücker","Bezirksverordnete","Linke","04.11.2021"
"Oliver Simon","Bezirksverordneter","FDP","04.11.2021"
"Markus Stang","Bezirksverordneter","CDU","16.03.2023"
"Claudia Steinke","Bezirksverordnete","CDU","27.10.2011"
"Dr. Jaana Stiller","Bezirksverordnete","Linke","27.10.2016"
"Jurik Stiller","Bezirksverordneter","Linke","01.01.2024"
"Jan-Philip Streeck","Bezirksverordneter","AfD","04.11.2021"
"Mike Szidat","Bezirksverordneter","SPD","02.11.2011"
"Almuth Tharan","Bezirksverordnete","Grüne","29.11.2001"
"Prof. Dr. Antje Tölle","Bezirksverordnete","CDU","16.03.2023"
"Aileen Weibeler","Bezirksverordnete","CDU","16.03.2023"
"Hannah-Caroline Wettig","Bezirksverordnete","Grüne","17.11.2021"
"Stephanie Wölk","Bezirksverordnete","SPD","27.10.2016"
