"Name","Art der Mitarbeit","Herkunft","seit"
"Andrea Behnke","stellv. Schriftführerin","B90","2023-06-07"
"Andreas Otto","Bezirksverordneter","FDP","2023-03-16"
"Andreas Rietz","Schriftführung","B90","2021-12-08"
"Angela Budweg","Schriftführung","SPD","2023-04-19"
"Arnim Hoffmann","Bezirksverordneter","AfD","2021-11-04"
"Björn Hawlitschka","Bezirksverordneter","SPD","2021-11-04"
"Bogusz Schmidt","Bezirksverordneter","B90","2021-11-04"
"Cassandra Hoffmann","Bezirksverordnete","CDU","2023-03-16"
"Claudia Skrobek-Angerer","Schriftführung","CDU","2021-11-04"
"Darrell Yaw Kanngießer","Bezirksverordneter","SPD","2023-12-18"
"David Jahn","Ausschussmitglied","FDP","2026-02-09"
"Detlef Trappe","stellv. Ausschussvorsitzender","CDU","2025-05-01"
"Elke Klünder","Bezirksverordnete","B90","2011-10-27"
"Felix Lederle","Bezirksverordneter","fraktionslos","2023-03-16"
"Felix Schönebeck","Bezirksverordneter","CDU","2018-01-01"
"Gilbert Collé","Bezirksverordneter","SPD","2011-10-27"
"Günes Keskin","Bezirksverordnete","B90","2021-11-04"
"Hans-Peter Marten","Schriftführung","CDU","2023-04-19"
"Hans-Peter Ott","Bezirksverordneter","CDU","2023-03-16"
"Jens Augner","Bezirksverordneter","B90","2011-10-27"
"Jens-Uwe Meißner","Bezirksverordneter","AfD","2023-09-25"
"Julian Radecker","Bezirksverordneter","CDU","2021-11-04"
"Kai Bartosch","Bezirksverordnete","B90","2026-01-01"
"Karin Hiller-Ewers","Bezirksverordnete","SPD","2011-10-27"
"Kerstin Köppen","Ausschussvorsitzende","CDU","2023-06-07"
"Klaudyna Droske","Bezirksverordnete","CDU","2022-02-07"
"Klaus Teller","Bezirksverordneter","SPD","2019-06-11"
"Klaus-Hinrich Westerkamp","stellv. Ausschussmitglied","B90","2023-04-19"
"Laila Mirzo","Bezirksverordnete","fraktionslos","2023-03-23"
"Lilli Selski","Bezirksverordnete","CDU","2022-01-12"
"Lisa Bubert","Schriftführung","CDU","2023-04-19"
"Lorenz Weser","Schriftführung","CDU","2023-04-19"
"Manuela Lentz","Bezirksverordnete","CDU","2024-01-01"
"Marc Bernicke","Bezirksverordneter","AfD","2024-08-13"
"Marco Käber","stellv. Ausschussmitglied","SPD","2024-02-15"
"Maria-Angeles Eisele","Bezirksverordnete","SPD","2016-11-04"
"Martin Stelzer","Schriftführung","CDU","2023-05-10"
"Matea Krolo","Bezirksverordnete","CDU","2021-11-04"
"Maximilian Zimmer","Bezirksverordneter","CDU","2023-03-16"
"Michael Windisch","Bezirksverordneter","CDU","2018-10-01"
"Michael Zischka","Ausschussmitglied","AfD","2023-09-25"
"Nicole Borkenhagen","Schriftführung","SPD","2016-11-09"
"Norbert Raeder","Bezirksverordneter","CDU","2016-10-27"
"Oliver Raeder","Bezirksverordneter","CDU","2025-05-01"
"Pejman Jafari","Bezirksverordneter","CDU","2023-03-16"
"Richard Gamp","Bezirksverordneter","CDU","2023-03-16"
"Sascha Rudloff","Bezirksverordneter","SPD","2021-11-04"
"Sebastian Billerbeck","Bezirksverordneter","CDU","2023-03-16"
"Sevda Boyraci","stellv. BVV-Vorsitz","SPD","2023-04-19"
"Stefan Valentin","Schriftführung","SPD","2024-05-29"
"Sven Adrian","Bezirksverordneter","AfD","2016-10-27"
"Sylvia Schmidt","Bezirksverordnete","FDP","2026-01-30"
"Tomasz Klon","stellv. Ausschussmitglied","CDU","2023-04-19"
"Ulf Wilhelm","Bezirksverordneter","CDU","2025-10-06"
"Ute Kühne-Sironski","Bezirksverordnete","CDU","2023-03-16"
