"Name","Art der Mitarbeit","Herkunft","seit"
"Christian Heck","Bezirksverordnetenvorsteher","CDU","04.11.2021"
"Uwe Ziesak","Stellv. Bezirksverordnetenvorsteher","SPD","26.10.2006"
"Anett Schwarz","Schriftführerin BVV","CDU","16.03.2023"
"Christoph Sonnenberg-Westeson","Bezirksverordnete/r","Grüne","26.10.2006"
"Lena Arent","Bezirksverordnete/r","CDU","15.05.2025"
"Georg Dege","Bezirksverordnete/r","CDU","04.11.2021"
"Gabriele Gaßner","Bezirksverordnete/r","CDU","16.03.2023"
"Andrea Gowitzke","Bezirksverordnete/r","CDU","16.03.2023"
"Max Grüninger","Bezirksverordnete/r","CDU","04.11.2021"
"Joachim Koza","Bezirksverordnete/r","CDU","27.10.2016"
"Christopher Kuhn","Bezirksverordnete/r","CDU","04.11.2021"
"Silke Lehmann","Bezirksverordnete/r","CDU","04.11.2021"
"Ingo Marquardt","Bezirksverordnete/r","CDU","16.03.2023"
"Arndt Meißner","Bezirksverordnete/r","CDU","01.01.2004"
"Sven Oole","Bezirksverordnete/r","CDU","16.03.2023"
"Helmut Pech","Bezirksverordnete/r","CDU","04.11.2021"
"Jörg Priebusch","Bezirksverordnete/r","CDU","16.03.2023"
"Lars Reinefahl","Bezirksverordnete/r","CDU","30.11.1995"
"Ingo Rösike","Bezirksverordnete/r","CDU","16.03.2023"
"Natascha Schill","Bezirksverordnete/r","CDU","16.03.2023"
"Thomas Schill","Bezirksverordnete/r","CDU","16.03.2023"
"Dr. Jürgen Schwarz","Bezirksverordnete/r","CDU","04.11.2021"
"Sylvia Siebert","Bezirksverordnete/r","CDU","16.03.2023"
"Aida Spiegeler Castañeda","Bezirksverordnete/r","CDU","04.11.2021"
"Siegfried Wärk","Bezirksverordnete/r","CDU","14.12.2016"
"Patrick Wolf","Bezirksverordnete/r","CDU","27.10.2016"
"Ina Bittroff","Bezirksverordnete/r","SPD","04.11.2021"
"Miloslava Büger","Bezirksverordnete/r","SPD","04.11.2021"
"Asmahan Er","Bezirksverordnete/r","SPD","10.02.2025"
"Hannah Hübner","Bezirksverordnete/r","SPD","30.11.2016"
"Martina Kustin","Bezirksverordnete/r","SPD","27.10.2016"
"Jennifer Pose","Bezirksverordnete/r","SPD","01.12.2021"
"Lukas Schulz","Bezirksverordnete/r","SPD","30.11.2016"
"Ayse Soykan","Bezirksverordnete/r","SPD","01.11.2020"
"Francesco-Marco Tommasino","Bezirksverordnete/r","SPD","04.11.2021"
"Carsten Tuchen","Bezirksverordnete/r","SPD","10.09.2018"
"Brigitte Brolowski","Bezirksverordnete/r","AfD","04.11.2021"
"Asta Dürkop-Zielinski","Bezirksverordnete/r","AfD","15.05.2025"
"Lukas Korus","Bezirksverordnete/r","AfD","10.06.2025"
"Dieter Meckelein","Bezirksverordnete/r","AfD","04.11.2021"
"Christian Müller","Bezirksverordnete/r","AfD","27.10.2016"
"Andreas Otti","Bezirksverordnete/r","AfD","04.11.2021"
"Dr. Norbert Kopytziok","Bezirksverordnete/r","Grüne","04.11.2021"
"Dara Kossok-Spieß","Bezirksverordnete/r","Grüne","04.11.2021"
"Tatjana von Münchhausen","Bezirksverordnete/r","Grüne","04.11.2021"
"Sabine Knepel","Bezirksverordnete/r","Linke","04.11.2021"
"Lars Leschewitz","Bezirksverordnete/r","Linke","27.10.2016"
"Elmas Wieczorek-Hahn","Bezirksverordnete/r","Linke","27.10.2016"
"Leonardo Eshraghi","Bezirksverordnete/r","FDP","27.10.2016"
"Jens Hofmann","Bezirksverordnete/r","FDP","20.06.2017"
"Matthias Unger","Bezirksverordnete/r","FDP","27.10.2016"
"Jochen Anders","Bezirksverordnete/r","fraktionslos","09.09.2025"
"Angélique Hadjedj","Bezirksverordnete/r","fraktionslos","09.09.2025"
"Andy Schröder","Bezirksverordnete/r","fraktionslos","30.10.2025"
"Roman Weber","Bezirksverordnete/r","fraktionslos","09.09.2025"
