"Name","Art der Mitarbeit","Herkunft","seit"
"Alexander Kräß","Bezirksverordnete/r","Grüne","2021-11-04"
"Alexander Niessen","Bezirksverordnete/r","SPD","2021-11-04"
"André Tinibel","Bezirksverordnete/r","CDU","2023-03-16"
"Beate Roll","Bezirksverordnete/r","CDU","2021-12-08"
"Bernhard Lücke","Bezirksverordnete/r","CDU","2011-10-27"
"Bernhard Steinhoff","Bezirksverordnete/r","Grüne","2009-10-01"
"Bettina Kirsch","Bezirksverordnete/r","SPD","2013-05-01"
"Birgit Vasiliades","Bezirksverordnete/r","Grüne","2024-01-09"
"Carolyn Macmillan","Bezirksverordnete/r","SPD","2016-10-27"
"Carsten Berger","Bezirksverordnete/r","Grüne","2018-12-04"
"Christine Mögling","Bezirksverordnete/r","CDU","2023-03-16"
"Daniel Eliasson","Bezirksverordnete/r","Grüne","2022-06-16"
"Dennis Klein","Bezirksverordnete/r","CDU","2023-03-16"
"Dr. Clemens Escher","Bezirksverordnete/r","CDU","2016-11-09"
"Dr. Dennis Egginger-Gonzalez","Bezirksverordnete/r","Linke","2025-05-22"
"Dr. Konstantinos Kosmas","Bezirksverordnete/r","Grüne","2021-12-08"
"Dr. Marela Bone-Winkel","Bezirksverordnete/r","CDU","2016-10-27"
"Dr. Sabine Lehmann-Brauns","Bezirksverordnete/r","CDU","2006-10-26"
"Ellinor Trenczek","Bezirksverordnete/r","SPD","2018-10-11"
"Felix Wolf","Bezirksverordnete/r","fraktionslos","2024-05-01"
"Gabriele Grabowski","Bezirksverordnete/r","CDU","2023-03-16"
"Götz Müller","Bezirksverordnete/r","CDU","2023-03-16"
"Gregor Habbel","Bezirksverordnete/r","FDP","2021-11-04"
"Gülsah Bayar","Bezirksverordnete/r","Grüne","2021-11-04"
"Jeannine Perduss","Bezirksverordnete/r","CDU","2023-03-16"
"Jens Kronhagel","Bezirksverordnete/r","CDU","2006-11-15"
"Johanna Martens","Bezirksverordnete/r","Grüne","2021-11-04"
"Jonas Krone","Bezirksverordnete/r","Grüne","2021-12-08"
"Juliana Kölsch","Schriftführung","SPD","2001-11-29"
"Karen Wirrwitz","Bezirksverordnete/r","CDU","2021-11-04"
"Katharina Concu","Bezirksverordnete/r","FDP","2021-11-04"
"Kulhimet Emre Tekemen","Bezirksverordnete/r","Grüne","2021-11-04"
"Leonard Wolters","Bezirksverordnete/r","CDU","2023-05-25"
"Marianne Wagner","Bezirksverordnete/r","Grüne","2022-09-02"
"Mariella Perna","Bezirksverordnete/r","Grüne","2021-11-04"
"Martin Kromm","Bezirksverordnete/r","SPD","2021-11-04"
"Mathia Specht-Habbel","Bezirksverordnete/r","FDP","2016-10-27"
"Mathias Gruner","Bezirksverordnete/r","Linke","2025-05-22"
"Michael Mc Laughlin","Bezirksverordnete/r","CDU","2006-10-26"
"Michael Zwilling","Bezirksverordnete/r","CDU","2023-03-16"
"Norbert Buchta","Bezirksverordnete/r","SPD","2001-11-29"
"Olemia Flores Ramirez","Bezirksverordnete/r","SPD","2019-01-11"
"Peer Döhnert","Bezirksverordnete/r","AfD","2025-06-04"
"Rainer Ziffels","Bezirksverordnete/r","SPD","2011-11-16"
"Ralf Fröhlich","Bezirksverordnete/r","CDU","2004-08-14"
"René Rögner-Francke","BVV-Vorsitz","CDU","2006-10-26"
"Sandrine Fabre","Bezirksverordnete/r","SPD","2021-11-04"
"Sebastian Voigt","Bezirksverordnete/r","CDU","2021-11-04"
"Sören Grawert","stellv. BVV-Vorsitz","FDP","2021-12-08"
"Tatjana Goebel","Bezirksverordnete/r","CDU","2023-03-16"
"Torsten Hippe","Bezirksverordnete/r","CDU","1995-11-14"
"Ulrike Kipf","Bezirksverordnete/r","Grüne","2021-11-04"
"Ute Hahnfeld","Bezirksverordnete/r","CDU","2022-02-14"
"Volker Graffstädt","Bezirksverordnete/r","AfD","2025-06-04"
"Volker Semler","Bezirksverordnete/r","SPD","2006-10-26"
