"Name","Art der Mitarbeit","Herkunft","seit"
"Astrid Bialluch-Liu","Bezirksverordnete","fraktionslos",""
"Stefan Böltes","Vorsteher der BVV","Grüne",""
"Bertram von Boxberg","Bezirksverordneter","SPD",""
"Dr. Carsten Buchholz","Bezirksverordneter","Grüne",""
"Daniel Dittmar","Bezirksverordneter","CDU",""
"Petra Dittmeyer","Bezirksverordnete","CDU",""
"Ayten Dogan","Bezirksverordnete","CDU",""
"Simone Drews","Bezirksverordnete","SPD",""
"Marius Feldkamp","Bezirksverordneter","Grüne",""
"Oliver Fey","Bezirksverordneter","Grüne",""
"Karsten Franck","Bezirksverordneter","SPD",""
"Reinhard Frede","Bezirksverordneter","AfD",""
"Stephan Gerhold","Bezirksverordneter","FDP",""
"Harald Gindra","Bezirksverordneter","SPD",""
"Lisa-Cathrin Glowatz","Bezirksverordnete","Linke",""
"Klaus Hackenschmied","Bezirksverordneter","CDU",""
"Janis Hantke","Bezirksverordnete","CDU",""
"Manuela Harling","Bezirksverordnete","SPD",""
"Janna Hennig","Bezirksverordnete","SPD",""
"Annette Hertlein","Bezirksverordnete","Grüne",""
"Ingeborg Hofer-Hutter","Bezirksverordnete","SPD",""
"Marijke Höppner","Bezirksverordnete","Grüne",""
"Torben Elias Joswich","Bezirksverordneter","SPD",""
"Hartmut Kämper","Bezirksverordneter","Grüne",""
"Uwe Kasper","Bezirksverordneter","FDP",""
"Hagen Kliem","Bezirksverordneter","AfD",""
"Regina Körper","Bezirksverordnete","CDU",""
"Dr. Tim Alexander Kuhn","Bezirksverordneter","CDU",""
"Ralf Kühne","Bezirksverordneter","CDU",""
"Patrick Liesener","Bezirksverordneter","Grüne",""
"Ronja Losert","Bezirksverordnete","CDU",""
"Katharina Marg","Bezirksverordnete","Grüne",""
"Dennis Mateškovic","Bezirksverordneter","Linke",""
"Denis McGee","Bezirksverordneter","Grüne",""
"Marcel Oehmen","Bezirksverordneter","CDU",""
"Ralf Olschewski","Bezirksverordneter","CDU",""
"Dr. Christopher Peter","Bezirksverordneter","CDU",""
"Guido Pschollkowski","Bezirksverordneter","Grüne",""
"Jan Rauchfuß","Bezirksverordneter","CDU",""
"Johannes Rudschies","Bezirksverordneter","SPD",""
"Martin Alexander Rutsch","Bezirksverordneter","CDU",""
"Dr. Christine Scherzinger","Bezirksverordnete","BSW",""
"Alexander Schie","Bezirksverordneter","BSW",""
"Fabian Schlecht","Bezirksverordneter","CDU",""
"Britta Schmidt-Krüger","Bezirksverordnete","Grüne",""
"Heinrich Schupelius","Bezirksverordneter","CDU",""
"Philipp Seehofer","Bezirksverordneter","CDU",""
"Harald Sielaff","Bezirksverordneter","CDU",""
"Jürgen Swobodzinski","Bezirksverordneter","CDU",""
"Karl-Heinz Turban","Bezirksverordneter","SPD",""
"Corinna Volkmann","Bezirksverordnete","AfD",""
"Sarah Walter","Bezirksverordnete","SPD",""
"Elisabeth Wissel","Bezirksverordnete","SPD",""
"Annabelle Wolfsturm","Bezirksverordnete","Linke",""
"Martina Zander-Rade","stellv. Vorsteherin der BVV","Grüne",""
