"Name","Art der Mitarbeit","Herkunft","seit"
"Paul Bahlmann","Bezirksverordneter","fraktionslos",""
"Monika Belz","Bezirksverordnete/r","SPD","27.10.2016"
"Sabine Bock","Bezirksverordnete","SPD","04.11.2021"
"Josefine Brandt","Bezirksverordnete","SPD","04.11.2021"
"Caroline Danubio","Bezirksverordnete","CDU","04.11.2021"
"Matthias Dehmel","Bezirksverordneter","CDU","16.03.2023"
"Uwe Doering","Bezirksverordneter","Linke","29.11.2016"
"Sven Dohnalek","Bezirksverordneter","Grüne","04.11.2021"
"Hannelore Eckert","Bezirksverordnete","CDU","16.03.2023"
"André Erdmann","Bezirksverordneter","CDU","16.03.2023"
"Jan Frederick von Ertzdorff-Kupffer","Bezirksverordneter","AfD","06.03.2025"
"Julia Falkenberg","Bezirksverordnete","CDU","04.11.2021"
"Jeanot Franke","Bezirksverordneter","FDP","16.03.2023"
"Jonas Geue","Bezirksverordneter","CDU","04.11.2021"
"Peter Groos","Vorsteher","SPD","01.08.2014"
"Denis Henkel","Bezirksverordneter","AfD","27.10.2016"
"Martin Hinz","Bezirksverordneter","Partei FAMILIE","16.03.2023"
"Dustin Hoffmann","Bezirksverordneter","CDU","01.11.2016"
"Edwin Hoffmann","Bezirksverordneter","SPD","29.07.2019"
"Rainer Hölmer","Bezirksverordneter","SPD","04.11.2021"
"Christian Huber","Bezirksverordneter","Grüne","04.11.2021"
"Karin Kant","Bezirksverordnete","Linke","12.10.2000"
"Heike Kappel","Bezirksverordnete","Linke","11.06.2025"
"Edith Karge","Bezirksverordnete","Linke","19.01.2014"
"Andreas Max Klupsch","Bezirksverordneter","AfD","04.11.2021"
"Wolfgang Knack","Bezirksverordneter","CDU","16.03.2023"
"Ralph Korbus","Bezirksverordneter","CDU","27.10.2016"
"Christian Krüger","Bezirksverordneter","AfD","16.03.2023"
"Sascha Lawrenz","Bezirksverordneter","CDU","16.03.2023"
"Andrea Lorenz","Bezirksverordnete","AfD","27.10.2016"
"Kai-Mario Martin","Bezirksverordneter","Linke","04.11.2021"
"Hilke Meyer","Bezirksverordnete","SPD","30.05.2023"
"Sebastian Pöhls","Bezirksverordneter","AfD","16.03.2023"
"Petra Reichardt","Bezirksverordnete","Linke","12.10.2000"
"Grit Rohde","Bezirksverordnete","SPD","27.10.2011"
"Brigitte Sakrzewski","Bezirksverordnete","Grüne","12.01.2024"
"Steffen Sambill","Bezirksverordneter","SPD","27.10.2011"
"Jörn Schleinitz","Bezirksverordneter","AfD","16.03.2023"
"Joachim Schmidt","Bezirksverordneter","FDP","16.03.2023"
"Hannes Schneider","Bezirksverordneter","CDU","16.03.2023"
"Oliver Scholz","Bezirksverordneter","CDU","28.03.2023"
"Jennifer Schrodt","Bezirksverordnete","Tierschutzpartei","04.11.2021"
"André Schubert","Stv. Vorsteher","Linke","27.10.2016"
"Romana Seth","Bezirksverordnete","fraktionslos","04.11.2021"
"Johannes Sievers","Bezirksverordneter","Grüne","01.10.2019"
"Charlotte Steinmetz","Bezirksverordnete","Grüne","04.11.2021"
"Ralf Thies","Bezirksverordneter","SPD","01.01.2014"
"Talip Törün","Schriftführer","Grüne","23.11.2021"
"Manuel Tyx","Bezirksverordneter","SPD","27.10.2016"
"Lukas Vennemann","Bezirksverordneter","CDU","16.03.2023"
"Ferdinand Vogel","Bezirksverordneter","AfD","14.11.2022"
"Irina Vogt","Bezirksverordnete","SPD","26.10.2006"
"Philipp Wohlfeil","Bezirksverordneter","Linke","29.11.2001"
"Jacob Zellmer","Bezirksverordneter","Grüne","01.02.2015"
