Bezirk;Name;Role;department_keywords;Party;SourceURL;RoleRaw
Charlottenburg-Wilmersdorf;Kirstin Bauch;Bezirksbürgermeisterin;["finanzen","personal","wirtschaft"];Grüne;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-finanzen-personal-und-wirtschaftsfoerderung/; Kirstin Bauch (Grüne)
Charlottenburg-Wilmersdorf;Astrid Duda;Stadträtin;["buergerdienste","soziales"];CDU;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-buergerdienste-und-soziales/; Astrid Duda (CDU)
Charlottenburg-Wilmersdorf;Christoph Brzezinski;Stadtrat;["stadtentwicklung","liegenschaften","it"];CDU;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-stadtentwicklung-liegenschaften-und-it/; Christoph Brzezinski (CDU)
Charlottenburg-Wilmersdorf;Heike Schmitt-Schmelz;Stadträtin;["schule","sport","weiterbildung","kultur"];SPD;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-schule-sport-weiterbildung-und-kultur/; Heike Schmitt-Schmelz (SPD)
Charlottenburg-Wilmersdorf;Oliver Schruoffeneger;Stadtrat;["ordnung","umwelt","strassen","gruenflaechen"];Grüne;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-ordnung-umwelt-strassen-und-gruenflaechen/; Oliver Schruoffeneger (Grüne)
Charlottenburg-Wilmersdorf;Simon Hertel;Stadtrat;["jugend","gesundheit"];CDU;https://www.berlin.de/ba-charlottenburg-wilmersdorf/politik/bezirksamt/abteilung-jugend-und-gesundheit/; Simon Hertel (CDU)

Friedrichshain-Kreuzberg;Clara Herrmann;Bezirksbürgermeisterin;["finanzen","personal","wirtschaft","kultur","diversity","klima"];Grüne;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/clara-herrmann/; Clara Herrmann (Grüne)
Friedrichshain-Kreuzberg;Andy Hehmke;Stadtrat;["schule","sport","facility_management"];SPD;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/andy-hehmke/; Andy Hehmke (SPD)
Friedrichshain-Kreuzberg;Annika Gerold;Stadträtin;["verkehr","gruenflaechen","ordnung","umwelt"];Grüne;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/annika-gerold/; Annika Gerold (Grüne)
Friedrichshain-Kreuzberg;Florian Schmidt;Stadtrat;["bauen","planung","stadtentwicklung"];Grüne;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/florian-schmidt/; Florian Schmidt (Grüne)
Friedrichshain-Kreuzberg;Max Kindler;Stadtrat;["jugend","familie","gesundheit"];CDU;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/max-kindler/; Max Kindler (CDU)
Friedrichshain-Kreuzberg;Regine Sommer-Wetter;Stadträtin;["arbeit","buergerdienste","soziales"];Linke;https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/bezirksamt/regine-sommer-wetter/; Regine Sommer-Wetter (Linke)

Lichtenberg;Martin Schaefer;Bezirksbürgermeister;["personal","finanzen","wirtschaft","kultur","sozialraumplanung"];CDU;https://www.berlin.de/ba-lichtenberg/aktuelles/geschaeftsbereich-01-persfinwiku/; Martin Schaefer (CDU)
Lichtenberg;Camilla Schuler;Stadträtin;["stadtentwicklung","bauen","facility_management","jugend","familie"];Linke;https://www.berlin.de/ba-lichtenberg/aktuelles/geschaeftsbereich-04-stadtbaufm/artikel.549478.php; Camilla Schuler (Linke)
Lichtenberg;Catrin Gocksch;Stadträtin;["soziales","arbeit","gesundheit","buergerdienste"];CDU;https://www.berlin.de/ba-lichtenberg/aktuelles/geschaeftsbereich-05-sozgesbued/artikel.342211.php; Catrin Gocksch (CDU)
Lichtenberg;Filiz Keküllüoğlu;Stadträtin;["verkehr","gruenflaechen","ordnung","umwelt","naturschutz"];Grüne;https://www.berlin.de/ba-lichtenberg/aktuelles/04/; Filiz Keküllüoğlu (Grüne)
Lichtenberg;Sandy Mattes;Stadträtin;["schule","sport"];SPD;https://www.berlin.de/ba-lichtenberg/aktuelles/02/; Sandy Mattes (SPD)

Marzahn-Hellersdorf;Nadja Zivkovic;Bezirksbürgermeisterin;["wirtschaft","strassen","gruenflaechen","umwelt","naturschutz","personal","finanzen"];CDU;https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/bezirksamt/kollegium/nadja-zivkovic/lebenslauf.766715.php; Nadja Zivkovic (CDU)
Marzahn-Hellersdorf;Gordon Lemm;Stadtrat;["jugend","familie","gesundheit"];SPD;https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/bezirksamt/kollegium/gordon-lemm/lebenslauf.533027.php; Gordon Lemm (SPD)
Marzahn-Hellersdorf;Heike Wessoly;Stadträtin;["stadtentwicklung"];CDU;https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/bezirksamt/kollegium/heike-wessoly/lebenslauf.1323703.php; Heike Wessoly (CDU)
Marzahn-Hellersdorf;Juliane Witt;Stadträtin;["soziales","buergerdienste"];Linke;https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/bezirksamt/kollegium/juliane-witt/lebenslauf.34150.php; Juliane Witt (Linke)
Marzahn-Hellersdorf;Stefan Bley;Stadtrat;["schule","sport","weiterbildung","kultur","facility_management"];CDU;https://www.berlin.de/ba-marzahn-hellersdorf/politik-und-verwaltung/bezirksamt/kollegium/stefan-bley/lebenslauf.1321991.php; Stefan Bley (CDU)

Mitte;Stefanie Remlinger;Bezirksbürgermeisterin;["personal","finanzen","weiterbildung","kultur"];Grüne;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/stefanie-remlinger/; Stefanie Remlinger (Grüne)
Mitte;Benjamin Fritz;Stadtrat;["soziales","buergerdienste"];CDU;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/benjamin-fritz/; Benjamin Fritz (CDU)
Mitte;Carsten Spallek;Stadtrat;["soziales","buergerdienste"];CDU;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/carsten-spallek/; Carsten Spallek (CDU)
Mitte;Christoph Keller;Stadtrat;["jugend","familie","gesundheit"];Linke;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/christoph-keller/; Christoph Keller (Linke)
Mitte;Christopher Schriner;Stadtrat;["ordnung","umwelt","natur","strassen","gruenflaechen"];Grüne;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/christopher-schriner/artikel.1441484.php; Christopher Schriner (Grüne)
Mitte;Ephraim Gothe;Stadtrat;["stadtentwicklung","facility_management"];SPD;https://www.berlin.de/ba-mitte/politik-und-verwaltung/bezirksamt/ephraim-gothe/; Ephraim Gothe (SPD)

Neukölln;Gerrit Kringel;Stadtrat;["ordnung"];CDU;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-ordnung/; Gerrit Kringel (CDU)
Neukölln;Martin Hikel;Bezirksbürgermeister;["finanzen","personal","buergerdienste","facility_management"];SPD;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-bezirksbuergermeister/; Martin Hikel (SPD)
Neukölln;Hannes Rehfeldt;Stadtrat;["soziales","gesundheit"];CDU;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-soziales-und-gesundheit/; Hannes Rehfeldt (CDU)
Neukölln;Janine Wolter;Stadträtin;["bildung","kultur","sport"];SPD;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-bildung-kultur-und-sport/; Janine Wolter (SPD)
Neukölln;Jochen Biedermann;Stadtrat;["stadtentwicklung","umwelt","verkehr"];Grüne;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-stadtentwicklung-umwelt-und-verkehr/; Jochen Biedermann (Grüne)
Neukölln;Sarah Nagel;Stadträtin;["jugend"];Linke;https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/bezirksamt/geschaeftsbereich-jugend/; Sarah Nagel (Linke)

Pankow;Cordelia Koch;Bezirksbürgermeisterin;["finanzen","personal","weiterbildung","kultur","wirtschaft"];Grüne;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/dr-cordelia-koch/; Cordelia Koch (Grüne)
Pankow;Cornelius Bechtler;Stadtrat;["stadtentwicklung","buergerdienste"];Grüne;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/cornelius-bechtler/; Cornelius Bechtler (Grüne)
Pankow;Dominique Krössin;Stadträtin;["soziales","gesundheit"];Linke;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/dominique-kroessin/; Dominique Krössin (Linke)
Pankow;Jörn Pasternack;Stadtrat;["schule","sport","facility_management"];CDU;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/joern-pasternack/; Jörn Pasternack (CDU)
Pankow;Manuela Anders-Granitzki;Stadträtin;["ordnung","oeffentlicher_raum"];CDU;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/manuela-anders-granitzki/; Manuela Anders-Granitzki (CDU)
Pankow;Rona Tietje;Stadträtin;["jugend","familie"];SPD;https://www.berlin.de/ba-pankow/politik-und-verwaltung/bezirksamt/rona-tietje/; Rona Tietje (SPD)

Reinickendorf;Emine Demirbüken-Wegner;Bezirksbürgermeisterin;["finanzen","personal","buergerdienste"];CDU;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/finanzen-personal-und-buergerdienste/; Emine Demirbüken-Wegner (CDU)
Reinickendorf;Alexander Ewers;Stadtrat;["jugend","familie"];SPD;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/jugend-und-familie/; Alexander Ewers (SPD)
Reinickendorf;Harald Muschner;Stadtrat;["bildung","sport","kultur","facility_management"];CDU;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/bildung-sport-kultur-und-fm/; Harald Muschner (CDU)
Reinickendorf;Korinna Stephan;Stadträtin;["stadtentwicklung"];Grüne;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/stadtentwicklung/; Korinna Stephan (Grüne)
Reinickendorf;Sebastian Pieper;Stadtrat;["ordnung","umwelt","verkehr"];CDU;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/ordnung-umwelt-und-verkehr/; Sebastian Pieper (CDU)
Reinickendorf;Uwe Brockhausen;Stadtrat;["soziales","gesundheit"];SPD;https://www.berlin.de/ba-reinickendorf/politik-und-verwaltung/bezirksamt/soziales-und-gesundheit/artikel.127813.php; Uwe Brockhausen (SPD)

Spandau;Frank Bewig;Bezirksbürgermeister;["personal","finanzen","wirtschaft"];CDU;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/frank-bewig/; Frank Bewig (CDU)
Spandau;Carola Brückner;Stadträtin;["bildung","kultur","sport","facility_management"];SPD;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/dr-carola-brueckner/; Dr. Carola Brückner (SPD)
Spandau;Gregor Kempert;Stadtrat;["soziales","buergerdienste"];SPD;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/gregor-kempert/; Gregor Kempert (SPD)
Spandau;Oliver Gellert;Stadtrat;["jugend","gesundheit"];Grüne;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/oliver-gellert/; Oliver Gellert (Grüne)
Spandau;Tanja Franzke;Stadträtin;["jugend","gesundheit"];CDU;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/tanja-franzke/; Tanja Franzke (CDU)
Spandau;Thorsten Schatz;Stadtrat;["bauen","planung","umwelt","naturschutz"];CDU;https://www.berlin.de/ba-spandau/politik-und-verwaltung/bezirksamt/das-kollegium/thorsten-schatz/; Thorsten Schatz (CDU)

